sample_id,language,speaker_num,sex,age,birth_place,native_language,other_languages,age_of_english_onset,english_learning_method,english_residence,length_english_residence_years,has_ipa,page_url,audio_url,tier,selection_note
hindi18,hindi,18,female,21.0,"new delhi, india",hindi,punjabi gujarati sanskrit,5.0,academic,usa,0.4,False,https://accent.gmu.edu/samples/hindi18/,https://accent.gmu.edu/audio/hindi18.mp3,primary,residence 0.4y
hindi13,hindi,13,female,43.0,"jaipur, india",hindi,rajasthani garhwali,13.0,academic,usa,0.1,False,https://accent.gmu.edu/samples/hindi13/,https://accent.gmu.edu/audio/hindi13.mp3,primary,residence 0.1y
hindi10,hindi,10,female,19.0,"new delhi, india",hindi,french,10.5,naturalistic,usa,8.0,True,https://accent.gmu.edu/samples/hindi10/,https://accent.gmu.edu/audio/hindi10.mp3,relaxed_residence,residence 8y (over 5y threshold)
hindi31,hindi,31,female,36.0,"rajkot, gujarat, india",hindi,gujarati,5.0,academic,usa,13.0,False,https://accent.gmu.edu/samples/hindi31/,https://accent.gmu.edu/audio/hindi31.mp3,relaxed_residence,residence 13y (over 5y threshold)
hindi17,hindi,17,female,47.0,"new delhi, india",hindi,none,3.0,academic,usa,24.0,False,https://accent.gmu.edu/samples/hindi17/,https://accent.gmu.edu/audio/hindi17.mp3,relaxed_residence,residence 24y (over 5y threshold)
hindi7,hindi,7,female,60.0,"allahabad, utter pardesh, india",hindi,bengali urdu,5.0,academic,usa,30.0,True,https://accent.gmu.edu/samples/hindi7/,https://accent.gmu.edu/audio/hindi7.mp3,relaxed_residence,residence 30y (over 5y threshold)
hindi33,hindi,33,female,44.0,"hyderabad, india",hindi,telugu arabic french greek sanskrit,6.0,naturalistic,"uk, canada, usa",30.0,False,https://accent.gmu.edu/samples/hindi33/,https://accent.gmu.edu/audio/hindi33.mp3,relaxed_residence,residence 30y (over 5y threshold)
hindi5,hindi,5,female,64.0,"hubballi, karnataka, india",hindi,sanskrit pali,10.0,academic,usa,40.0,True,https://accent.gmu.edu/samples/hindi5/,https://accent.gmu.edu/audio/hindi5.mp3,relaxed_residence,residence 40y (over 5y threshold)
arabic117,arabic,117,male,40.0,"al ras, saudi arabia",arabic,none,37.0,academic,usa,3.0,False,https://accent.gmu.edu/samples/arabic117/,https://accent.gmu.edu/audio/arabic117.mp3,primary,residence 3y
arabic118,arabic,118,male,40.0,"riyadh, saudi arabia",arabic,none,13.0,academic,"australia, usa",3.0,False,https://accent.gmu.edu/samples/arabic118/,https://accent.gmu.edu/audio/arabic118.mp3,primary,residence 3y
arabic82,arabic,82,male,42.0,"damascus, syria",arabic,none,12.0,academic,usa,0.3,True,https://accent.gmu.edu/samples/arabic82/,https://accent.gmu.edu/audio/arabic82.mp3,primary,residence 0.3y
arabic144,arabic,144,male,32.0,"laayoune, morocco",arabic,french,29.0,academic,usa,3.0,False,https://accent.gmu.edu/samples/arabic144/,https://accent.gmu.edu/audio/arabic144.mp3,primary,residence 3y
arabic155,arabic,155,male,28.0,"buraydah, saudi arabia",arabic,none,15.0,academic,"usa, canada",1.5,False,https://accent.gmu.edu/samples/arabic155/,https://accent.gmu.edu/audio/arabic155.mp3,primary,residence 1.5y
arabic50,arabic,50,male,36.0,"jiddah, saudi arabia",arabic,none,22.0,academic,usa,0.75,True,https://accent.gmu.edu/samples/arabic50/,https://accent.gmu.edu/audio/arabic50.mp3,primary,residence 0.75y
arabic180,arabic,180,male,18.0,"riyadh, saudi arabia",arabic,none,12.0,academic,usa,1.0,False,https://accent.gmu.edu/samples/arabic180/,https://accent.gmu.edu/audio/arabic180.mp3,primary,residence 1y
arabic28,arabic,28,male,30.0,"al-ayn, united arab emirates",arabic,none,12.0,academic,usa,1.0,True,https://accent.gmu.edu/samples/arabic28/,https://accent.gmu.edu/audio/arabic28.mp3,primary,residence 1y
